neg,neu,pos
0.00522222222222,0.912111111111,0.0826666666667
,,
0.0,0.798,0.202
0.0,0.9485,0.0515
0.0394,0.8878,0.0728
,,
0.0,0.76925,0.23075
0.0,0.8515,0.1485
0.0,1.0,0.0
0.0385714285714,0.920285714286,0.041
0.0,0.864,0.136
0.0475,0.882833333333,0.0696666666667
0.0435,0.675625,0.280875
0.0,0.968,0.032
0.03225,0.89725,0.0705
0.0,0.7734,0.2266
0.0,0.638,0.362
0.0105,0.7555,0.234166666667
,,
,,
0.0,0.807833333333,0.192166666667
0.0518,0.7774,0.171
,,
0.0,0.967,0.033
0.0217777777778,0.688,0.290222222222
0.00681818181818,0.868909090909,0.124272727273
0.02625,0.54225,0.4315
0.0,0.7835,0.2165
0.0,1.0,0.0
0.0,0.907,0.093
0.0,0.897818181818,0.102181818182
0.011,0.810875,0.178125
0.0,0.942,0.058
0.0,0.9135,0.0865
0.0,0.8988,0.1012
0.00814285714286,0.887142857143,0.104571428571
0.012,0.903,0.085
0.0344,0.7806,0.185
0.018,0.842875,0.139
0.0,0.8434,0.1566
0.0,1.0,0.0
0.0,0.93425,0.06575
0.012,0.761571428571,0.226285714286
0.0204285714286,0.944571428571,0.035
0.0,0.8926,0.1074
0.0,0.821,0.179
0.0103333333333,0.687,0.302666666667
0.0102857142857,0.947571428571,0.042
0.0,1.0,0.0
0.0,0.8245,0.1755
0.0,0.738,0.262
0.017,0.7975,0.1855
0.0,0.807833333333,0.192166666667
0.0675,0.8965,0.036
0.0703333333333,0.882333333333,0.0473333333333
0.0,0.7302,0.2698
0.04475,0.67625,0.279
,,
0.0,0.873142857143,0.126857142857
0.0,1.0,0.0
0.0,0.915285714286,0.0847142857143
0.1385,0.75975,0.10175
0.0175,0.815,0.1675
0.0122,0.7669,0.221
0.00716666666667,0.9025,0.0901666666667
,,
0.024,0.817666666667,0.158333333333
,,
0.02225,0.825,0.15275
0.0,0.9465,0.0535
0.0,0.846571428571,0.153428571429
0.0,0.794,0.206
0.0579090909091,0.834727272727,0.107363636364
,,
0.043625,0.805125,0.15125
0.0,0.846,0.154
0.0754285714286,0.776428571429,0.148142857143
0.0,1.0,0.0
0.0,0.915333333333,0.0846666666667
0.0483333333333,0.803611111111,0.148055555556
0.0,0.811846153846,0.188153846154
0.0189090909091,0.912545454545,0.0685454545455
0.0,0.888,0.112
0.0,0.8415,0.1585
,,
0.0088,0.8734,0.1178
0.0,0.8008,0.1992
0.022,0.794,0.184
0.0,0.857833333333,0.142166666667
0.0,0.8232,0.1768
,,
0.0,0.906,0.094
0.0,0.964,0.036
0.0495,0.8745,0.0758333333333
0.266,0.734,0.0
0.0,0.9,0.1
0.0,0.821333333333,0.178666666667
0.023,0.817,0.16
0.007,0.9505,0.0425
0.0,0.806,0.194
0.0634,0.871,0.0656
0.0,0.8336,0.1664
0.0878,0.8066,0.1054
0.0202,0.7732,0.2066
0.0,0.9112,0.0888
0.0,0.927,0.073
0.0,0.6136,0.1864
0.024,0.822,0.154
0.0,0.756142857143,0.243857142857
0.0,0.76875,0.10625
0.0,0.8488,0.1512
0.0271666666667,0.927333333333,0.0455
,,
0.0,0.833,0.167
0.0,0.884,0.116
0.0265,0.9105,0.063
0.03,0.8805,0.0895
0.0416666666667,0.764666666667,0.193666666667
0.0,0.78175,0.21825
0.0,0.7964,0.2036
0.0526666666667,0.892666666667,0.0546666666667
0.0225,0.815,0.1625
0.027,0.7535,0.2195
0.111384615385,0.728076923077,0.160538461538
0.0413333333333,0.426666666667,0.199333333333
0.0,0.931,0.069
0.0,0.828,0.172
0.0,1.0,0.0
0.0297142857143,0.862714285714,0.107571428571
0.0,0.781428571429,0.218571428571
0.0184210526316,0.891526315789,0.0900526315789
0.0,0.929888888889,0.0701111111111
0.0,0.749,0.251
0.0,0.769,0.231
0.0,0.582666666667,0.417333333333
0.00428571428571,0.840428571429,0.155285714286
0.01325,0.86275,0.124
0.017375,0.640875,0.34175
0.142857142857,0.569428571429,0.144857142857
0.0,0.85,0.15
0.0118333333333,0.809916666667,0.17825
0.0,0.836,0.164
0.0,0.8655,0.1345
0.0385,0.6725,0.289
0.0,0.95,0.05
0.0,0.865,0.135
0.0131666666667,0.847333333333,0.139666666667
0.0,0.83175,0.16825
0.15275,0.57725,0.27
0.0,0.865333333333,0.134666666667
0.026,0.75,0.223
0.0,0.879142857143,0.120857142857
0.00633333333333,0.9355,0.0583333333333
0.095,0.905,0.0
0.0,1.0,0.0
0.0,0.716,0.284
0.0,0.963,0.037
0.0,0.856,0.144
0.0284,0.8266,0.145
0.01275,0.9025,0.08475
0.0345,0.764,0.2015
0.014,0.83,0.156
0.0,0.602,0.398
0.318375,0.612,0.069625
0.0,0.964,0.036
0.1234,0.7964,0.0802
0.0213333333333,0.978666666667,0.0
0.028,0.741,0.231
0.0,0.6815,0.3185
0.0,0.8675,0.1325
0.0,1.0,0.0
0.0,0.861181818182,0.138818181818
0.0305,0.8473,0.1222
0.048,0.905,0.047
,,
0.0,0.857333333333,0.142666666667
0.0,0.8425,0.1575
0.0,0.912,0.088
0.052,0.797,0.151
0.0,0.896666666667,0.103333333333
0.0,0.901142857143,0.0988571428571
0.0,0.9226,0.0774
0.0,0.9342,0.0658
0.02375,0.83275,0.1435
0.0,0.8804,0.1196
0.01925,0.844,0.13675
0.02,0.945666666667,0.0343333333333
0.0,0.73525,0.26475
0.00575,0.92225,0.07225
0.0,0.763666666667,0.236333333333
0.0,0.8722,0.1278
0.0,0.8278,0.1722
0.017,0.9165,0.0665
0.0571,0.7755,0.1674
0.0116,0.8312,0.1572
0.0,0.891333333333,0.108666666667
0.0,0.9335,0.0665
0.0,0.909,0.091
0.0,0.95,0.05
0.034125,0.763625,0.20225
0.0,0.833,0.167
0.0,1.0,0.0
0.0654285714286,0.784142857143,0.079
0.0296153846154,0.808615384615,0.161769230769
0.0167142857143,0.756142857143,0.0842857142857
0.0,0.968,0.032
0.0245652173913,0.846391304348,0.129043478261
0.0,0.815666666667,0.184333333333
0.0302857142857,0.900714285714,0.0691428571429
0.0,0.891307692308,0.108692307692
,,
0.0412727272727,0.839454545455,0.119363636364
0.0,0.769666666667,0.230333333333
0.00971428571429,0.824714285714,0.165571428571
0.005,0.753142857143,0.241857142857
0.0282,0.8954,0.0764
0.0,0.896,0.104
0.0,0.818666666667,0.181333333333
0.0,1.0,0.0
0.102,0.8335,0.0645
