,interest_level
0,1
1,0
2,2
3,0
4,0
5,1
6,0
7,0
8,1
9,0
10,0
11,0
12,2
13,0
14,0
15,1
16,0
17,0
18,0
19,0
20,0
21,1
22,0
23,0
24,1
25,0
26,1
27,0
28,2
29,0
30,1
31,1
32,0
33,0
34,0
35,0
36,0
37,2
38,0
39,1
40,0
41,0
42,1
43,1
44,0
45,1
46,0
47,0
48,0
49,0
50,0
51,1
52,0
53,0
54,0
55,1
56,1
57,0
58,1
59,0
60,1
61,1
62,0
63,0
64,2
65,0
66,0
67,0
68,2
69,1
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,1
78,2
79,0
80,2
81,0
82,0
83,2
84,0
85,0
86,0
87,1
88,2
89,0
90,0
91,0
92,0
93,1
94,1
95,0
96,0
97,2
98,1
99,0
100,1
101,0
102,0
103,1
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,1
116,2
117,0
118,0
119,1
120,2
121,1
122,1
123,1
124,0
125,1
126,1
127,2
128,1
129,0
130,1
131,0
132,1
133,0
134,0
135,0
136,1
137,0
138,0
139,1
140,0
141,0
142,0
143,0
144,0
145,0
146,2
147,1
148,1
149,0
150,0
151,2
152,0
153,0
154,0
155,0
156,0
157,1
158,1
159,0
160,0
161,2
162,1
163,0
164,0
165,1
166,0
167,0
168,0
169,1
170,0
171,1
172,0
173,0
174,0
175,0
176,0
177,1
178,1
179,0
180,0
181,0
182,2
183,0
184,1
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,1
193,1
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,1
205,0
206,0
207,0
208,1
209,2
210,0
211,1
212,0
213,1
214,1
215,0
216,1
217,0
218,1
219,2
220,0
221,0
222,0
223,1
224,0
225,1
226,0
227,2
228,0
229,0
230,0
231,0
232,0
233,2
234,0
235,0
236,0
237,1
238,2
239,2
240,0
241,2
242,1
243,0
244,0
245,1
246,1
247,0
248,0
249,0
250,1
251,0
252,0
253,0
254,1
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,1
263,0
264,0
265,0
266,2
267,1
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,1
276,0
277,0
278,0
279,0
280,0
281,1
282,0
283,0
284,0
285,0
286,0
287,1
288,0
289,1
290,0
291,0
292,0
293,0
294,1
295,0
296,0
297,0
298,1
299,0
300,0
301,0
302,1
303,1
304,0
305,1
306,0
307,0
308,0
309,0
310,1
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,1
321,0
322,0
323,0
324,0
325,0
326,1
327,1
328,0
329,1
330,2
331,1
332,0
333,2
334,0
335,0
336,0
337,0
338,0
339,1
340,0
341,1
342,0
343,0
344,0
345,0
346,1
347,0
348,0
349,0
350,0
351,0
352,1
353,0
354,1
355,1
356,2
357,0
358,0
359,2
360,1
361,0
362,0
363,0
364,1
365,0
366,0
367,1
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,2
377,0
378,0
379,0
380,0
381,2
382,0
383,0
384,1
385,0
386,0
387,1
388,0
389,0
390,0
391,0
392,0
393,0
394,1
395,0
396,0
397,0
398,0
399,0
400,0
401,2
402,0
403,0
404,0
405,0
406,1
407,0
408,0
409,0
410,0
411,2
412,0
413,0
414,2
415,1
416,0
417,1
418,0
419,0
420,0
421,1
422,1
423,0
424,1
425,0
426,1
427,0
428,0
429,1
430,1
431,1
432,1
433,0
434,1
435,0
436,0
437,0
438,1
439,1
440,0
441,0
442,0
443,1
444,0
445,1
446,1
447,0
448,0
449,0
450,2
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,1
460,0
461,1
462,0
463,0
464,1
465,0
466,0
467,0
468,2
469,0
470,0
471,0
472,1
473,0
474,0
475,1
476,0
477,2
478,2
479,1
480,2
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,1
489,1
490,0
491,0
492,1
493,0
494,1
495,1
496,0
497,1
498,0
499,1
500,2
501,0
502,0
503,1
504,0
505,0
506,0
507,2
508,1
509,1
510,0
511,1
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,2
527,0
528,1
529,1
530,0
531,1
532,1
533,0
534,0
535,1
536,0
537,0
538,0
539,2
540,0
541,2
542,2
543,1
544,0
545,0
546,1
547,0
548,0
549,0
550,1
551,1
552,0
553,0
554,1
555,0
556,0
557,0
558,0
559,0
560,2
561,0
562,0
563,0
564,1
565,1
566,0
567,0
568,2
569,1
570,0
571,2
572,1
573,2
574,2
575,0
576,0
577,1
578,2
579,1
580,0
581,0
582,0
583,0
584,0
585,0
586,0
587,1
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,1
598,1
599,0
600,0
601,0
602,0
603,2
604,0
605,1
606,0
607,1
608,0
609,0
610,0
611,1
612,0
613,0
614,0
615,0
616,1
617,1
618,0
619,1
620,0
621,1
622,1
623,0
624,1
625,1
626,0
627,0
628,1
629,1
630,0
631,1
632,0
633,1
634,1
635,1
636,1
637,0
638,0
639,1
640,0
641,0
642,0
643,0
644,0
645,0
646,2
647,0
648,0
649,1
650,1
651,2
652,1
653,0
654,0
655,0
656,0
657,0
658,0
659,0
660,0
661,0
662,0
663,0
664,0
665,0
666,0
667,0
668,0
669,0
670,1
671,0
672,1
673,2
674,0
675,0
676,0
677,0
678,0
679,0
680,0
681,1
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,1
691,0
692,0
693,0
694,0
695,2
696,1
697,0
698,0
699,0
700,0
701,0
702,0
703,0
704,0
705,0
706,0
707,0
708,0
709,0
710,0
711,0
712,1
713,0
714,0
715,1
716,0
717,1
718,0
719,0
720,0
721,0
722,1
723,0
724,0
725,2
726,0
727,1
728,0
729,0
730,1
731,0
732,0
733,0
734,0
735,0
736,2
737,0
738,0
739,1
740,0
741,0
742,1
743,0
744,2
745,0
746,0
747,0
748,0
749,1
750,2
751,1
752,0
753,0
754,2
755,0
756,0
757,1
758,0
759,1
760,1
761,1
762,0
763,0
764,0
765,0
766,0
767,0
768,1
769,1
770,0
771,0
772,0
773,0
774,2
775,1
776,0
777,0
778,0
779,0
780,0
781,1
782,1
783,0
784,1
785,1
786,0
787,0
788,1
789,1
790,0
791,0
792,1
793,2
794,0
795,0
796,0
797,0
798,2
799,0
800,1
801,0
802,0
803,0
804,1
805,0
806,0
807,0
808,2
809,0
810,0
811,1
812,0
813,0
814,2
815,1
816,0
817,1
818,0
819,0
820,0
821,0
822,0
823,1
824,2
825,0
826,0
827,1
828,0
829,2
830,1
831,1
832,1
833,0
834,0
835,1
836,1
837,0
838,0
839,2
840,0
841,0
842,1
843,0
844,0
845,0
846,1
847,1
848,0
849,0
850,0
851,0
852,0
853,1
854,0
855,0
856,0
857,1
858,0
859,0
860,1
861,0
862,0
863,0
864,2
865,0
866,0
867,1
868,0
869,1
870,0
871,0
872,0
873,0
874,0
875,0
876,0
877,0
878,0
879,0
880,2
881,0
882,0
883,0
884,0
885,1
886,0
887,1
888,0
889,0
890,1
891,0
892,0
893,0
894,0
895,0
896,0
897,0
898,0
899,1
900,0
901,2
902,1
903,0
904,0
905,0
906,1
907,0
908,0
909,0
910,0
911,0
912,0
913,0
914,0
915,0
916,0
917,0
918,0
919,0
920,0
921,0
922,2
923,1
924,0
925,0
926,0
927,0
928,0
929,1
930,1
931,0
932,0
933,0
934,1
935,1
936,1
937,1
938,0
939,1
940,0
941,0
942,0
943,0
944,0
945,0
946,1
947,0
948,1
949,0
950,0
951,0
952,0
953,0
954,1
955,2
956,0
957,0
958,0
959,2
960,0
961,0
962,0
963,0
964,0
965,1
966,0
967,0
968,0
969,1
970,0
971,1
972,1
973,0
974,0
975,0
976,1
977,0
978,0
979,1
980,0
981,0
982,1
983,1
984,1
985,1
986,0
987,2
988,2
989,0
990,1
991,0
992,0
993,1
994,0
995,0
996,1
997,0
998,1
999,1
1000,1
1001,0
1002,0
1003,2
1004,2
1005,0
1006,0
1007,0
1008,0
1009,0
1010,1
1011,0
1012,1
1013,0
1014,0
1015,0
1016,0
1017,0
1018,0
1019,0
1020,0
1021,0
1022,0
1023,0
1024,0
1025,0
1026,2
1027,0
1028,0
1029,1
1030,0
1031,0
1032,0
1033,1
1034,1
1035,0
1036,1
1037,0
1038,1
1039,0
1040,0
1041,1
1042,0
1043,2
1044,0
1045,1
1046,1
1047,0
1048,0
1049,2
1050,0
1051,1
1052,0
1053,0
1054,0
1055,2
1056,1
1057,0
1058,1
1059,0
1060,0
1061,0
1062,1
1063,0
1064,0
1065,1
1066,0
1067,1
1068,0
1069,0
1070,1
1071,0
1072,0
1073,0
1074,1
1075,0
1076,0
1077,0
1078,1
1079,0
1080,1
1081,0
1082,2
1083,0
1084,1
1085,2
1086,0
1087,0
1088,1
1089,0
1090,0
1091,0
1092,0
1093,0
1094,1
1095,0
1096,1
1097,0
1098,0
1099,0
1100,0
1101,0
1102,0
1103,2
1104,0
1105,0
1106,1
1107,0
1108,0
1109,0
1110,0
1111,1
1112,0
1113,1
1114,0
1115,1
1116,0
1117,0
1118,0
1119,1
1120,1
1121,1
1122,0
1123,1
1124,0
1125,0
1126,0
1127,0
1128,0
1129,0
1130,0
1131,0
1132,1
1133,0
1134,1
1135,0
1136,0
1137,1
1138,1
1139,0
1140,1
1141,1
1142,0
1143,0
1144,0
1145,2
1146,0
1147,0
1148,0
1149,0
1150,0
1151,0
1152,0
1153,0
1154,0
1155,0
1156,0
1157,0
1158,2
1159,0
1160,1
1161,2
1162,0
1163,1
1164,0
1165,0
1166,1
1167,0
1168,1
1169,0
1170,1
1171,0
1172,1
1173,0
1174,0
1175,0
1176,1
1177,1
1178,0
1179,0
1180,0
1181,0
1182,0
1183,0
1184,0
1185,1
1186,1
1187,1
1188,1
1189,1
1190,1
1191,0
1192,0
1193,2
1194,2
1195,2
1196,0
1197,0
1198,0
1199,0
1200,0
1201,0
1202,1
1203,1
1204,1
1205,1
1206,0
1207,0
1208,0
1209,0
1210,2
1211,0
1212,0
1213,0
1214,0
1215,1
1216,0
1217,2
1218,0
1219,0
1220,0
1221,0
1222,1
1223,0
1224,0
1225,0
1226,1
1227,1
1228,2
1229,0
